"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count	Population	Age-Adjusted Rate
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Vermont"	"50"	391	615442	60.2
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Virginia"	"51"	4413	7286873	63.7
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Washington"	"53"	3901	6052349	69.0
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"West Virginia"	"54"	1996	1805414	91.1
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Wisconsin"	"55"	3612	5445162	64.2
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Wyoming"	"56"	259	500017	52.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Alabama"	"01"	3564	4503491	74.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Alaska"	"02"	299	648414	76.6
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Arizona"	"04"	3436	5510364	60.7
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Arkansas"	"05"	2467	2724816	82.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"California"	"06"	17395	35253159	56.2
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Colorado"	"08"	2041	4528732	54.2
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Connecticut"	"09"	2667	3484336	70.2
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Delaware"	"10"	738	818003	85.0
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"District of Columbia"	"11"	374	568502	66.7
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Florida"	"12"	15982	17004085	73.5
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Georgia"	"13"	5542	8622793	76.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Hawaii"	"15"	707	1251154	52.0
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Idaho"	"16"	763	1363380	60.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Illinois"	"17"	9090	12556006	74.2
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Indiana"	"18"	5086	6196638	81.5
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Iowa"	"19"	2344	2941999	70.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Kansas"	"20"	1819	2723004	65.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Kentucky"	"21"	4300	4117170	100.8
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Louisiana"	"22"	3512	4521042	80.6
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Maine"	"23"	1223	1306513	80.8
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Maryland"	"24"	3836	5496269	72.6
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Massachusetts"	"25"	4873	6422565	71.5
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Michigan"	"26"	7994	10041152	78.6
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Minnesota"	"27"	2929	5053572	59.6
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Mississippi"	"28"	2313	2868312	81.0
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Missouri"	"29"	5075	5709403	83.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Montana"	"30"	675	919630	66.4
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Nebraska"	"31"	1175	1738643	65.0
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Nevada"	"32"	1680	2248850	78.2
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"New Hampshire"	"33"	914	1279840	71.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"New Jersey"	"34"	6010	8601402	66.3
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"New Mexico"	"35"	854	1877574	46.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"New York"	"36"	13013	19175939	65.0
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"North Carolina"	"37"	6243	8422501	73.7
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"North Dakota"	"38"	446	638817	63.0
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Ohio"	"39"	9184	11434788	75.1
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Oklahoma"	"40"	3055	3504892	82.5
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Oregon"	"41"	2544	3547376	68.6
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Pennsylvania"	"42"	10411	12374658	70.5
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Rhode Island"	"44"	878	1071342	74.7
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"South Carolina"	"45"	3264	4150297	76.4
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"South Dakota"	"46"	519	763729	62.2
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Tennessee"	"47"	4710	5847812	77.5
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Texas"	"48"	12911	22030931	70.6
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Utah"	"49"	545	2360137	32.2
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Vermont"	"50"	463	617858	69.9
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Virginia"	"51"	5013	7366977	71.3
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Washington"	"53"	4070	6104115	70.8
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"West Virginia"	"54"	1905	1812295	85.5
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Wisconsin"	"55"	3725	5479203	65.3
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Wyoming"	"56"	295	503453	58.1
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Alabama"	"01"	3804	4530729	77.8
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Alaska"	"02"	327	659286	78.9
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Arizona"	"04"	3451	5652404	59.0
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Arkansas"	"05"	2525	2749686	82.5
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"California"	"06"	17434	35574576	55.5
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Colorado"	"08"	2002	4575013	51.7
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Connecticut"	"09"	2582	3496094	67.3
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Delaware"	"10"	732	830803	82.0
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"District of Columbia"	"11"	345	567754	62.1
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Florida"	"12"	16396	17415318	73.6
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Georgia"	"13"	5493	8769252	73.9
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Hawaii"	"15"	773	1273569	55.6
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Idaho"	"16"	775	1391802	59.0
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Illinois"	"17"	8882	12589773	71.9
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Indiana"	"18"	4913	6233007	78.0
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Iowa"	"19"	2285	2953635	67.7
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Kansas"	"20"	1772	2734373	62.7
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Kentucky"	"21"	4464	4146101	103.0
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Louisiana"	"22"	3578	4552238	81.0
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Maine"	"23"	1273	1313688	82.3
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Maryland"	"24"	3726	5546935	69.3
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Massachusetts"	"25"	4961	6412281	72.2
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Michigan"	"26"	7686	10055315	74.7
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Minnesota"	"27"	2917	5087713	58.4
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Mississippi"	"28"	2333	2889010	80.8
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Missouri"	"29"	4977	5747741	80.6
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Montana"	"30"	653	930009	63.4
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Nebraska"	"31"	1235	1749370	67.2
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Nevada"	"32"	1721	2346222	76.8
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"New Hampshire"	"33"	986	1290121	75.2
