"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"States"	"States Code"	Count	Population	Age-Adjusted Rate
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Minnesota"	"27"	2866	4873481	62.0
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Missouri"	"29"	5109	5561948	87.7
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Montana"	"30"	644	897507	68.0
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Nebraska"	"31"	1163	1704764	66.1
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Nevada"	"32"	1550	1934718	86.6
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"New Hampshire"	"33"	910	1222014	76.8
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"New Jersey"	"34"	6415	8359592	73.8
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"New Mexico"	"35"	888	1808082	53.0
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"New York"	"36"	13742	18882725	71.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"North Carolina"	"37"	5977	7949361	76.6
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"North Dakota"	"38"	401	644259	57.5
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Ohio"	"39"	9831	11335454	83.4
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Oklahoma"	"40"	3064	3437147	86.5
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Oregon"	"41"	2701	3393941	78.3
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Pennsylvania"	"42"	10802	12263805	75.3
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Rhode Island"	"44"	992	1040402	87.1
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"South Carolina"	"45"	3259	3974682	82.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Tennessee"	"47"	4304	5638706	75.6
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Texas"	"48"	13024	20558220	77.4
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Utah"	"49"	565	2203482	36.7
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Vermont"	"50"	465	604683	75.7
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Virginia"	"51"	4482	7000174	68.5
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Washington"	"53"	4215	5842564	78.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"West Virginia"	"54"	2189	1811799	102.3
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Wisconsin"	"55"	3888	5332666	71.8
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Wyoming"	"56"	305	491780	65.6
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Alabama"	"01"	3718	4452173	80.4
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Alaska"	"02"	277	627963	76.8
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Arizona"	"04"	3430	5160586	65.4
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"California"	"06"	18744	33987977	64.1
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Colorado"	"08"	2039	4326921	57.7
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Connecticut"	"09"	2664	3411777	72.8
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Delaware"	"10"	678	786373	83.5
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"District of Columbia"	"11"	405	572046	72.8
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Florida"	"12"	17268	16047515	84.4
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Georgia"	"13"	5718	8227303	84.2
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Hawaii"	"15"	707	1213519	55.9
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Idaho"	"16"	786	1299430	66.6
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Illinois"	"17"	9334	12434161	78.3
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Indiana"	"18"	5013	6091866	83.4
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Iowa"	"19"	2398	2929067	73.4
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Kansas"	"20"	1907	2693681	70.3
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Kentucky"	"21"	4464	4049021	108.9
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Louisiana"	"22"	3730	4471885	89.0
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Maine"	"23"	1256	1277072	87.3
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Maryland"	"24"	3881	5311034	77.5
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Massachusetts"	"25"	5172	6361104	77.7
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Michigan"	"26"	7906	9952450	80.7
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Minnesota"	"27"	2877	4933692	61.3
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Missouri"	"29"	4900	5607285	83.3
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Montana"	"30"	728	903773	75.7
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Nebraska"	"31"	1178	1713820	66.7
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Nevada"	"32"	1702	2018741	91.7
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"New Hampshire"	"33"	928	1239882	76.5
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"New Jersey"	"34"	6481	8430621	73.8
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"New Mexico"	"35"	933	1821204	54.4
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"New York"	"36"	14117	19001780	72.9
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"North Carolina"	"37"	6129	8081614	77.2
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"North Dakota"	"38"	406	642023	58.6
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Ohio"	"39"	9485	11363543	79.9
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Oklahoma"	"40"	3148	3454365	87.9
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Oregon"	"41"	2625	3429708	75.0
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Pennsylvania"	"42"	10857	12284173	75.3
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Rhode Island"	"44"	975	1050268	85.2
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"South Carolina"	"45"	3249	4024223	81.1
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Tennessee"	"47"	4298	5703719	74.5
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Texas"	"48"	12972	20944499	75.5
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Utah"	"49"	490	2244502	31.3
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Vermont"	"50"	444	609618	70.6
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Virginia"	"51"	4587	7105817	68.8
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Washington"	"53"	4113	5910512	75.7
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"West Virginia"	"54"	2146	1807021	99.8
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Wisconsin"	"55"	3744	5373999	68.4
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Wyoming"	"56"	284	494300	60.0
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Alabama"	"01"	3938	4467634	84.2
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Alaska"	"02"	305	633714	79.1
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Arizona"	"04"	3552	5273477	66.3
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Arkansas"	"05"	2600	2691571	88.8
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"California"	"06"	18821	34479458	63.1
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Colorado"	"08"	2170	4425687	60.3
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Connecticut"	"09"	2725	3432835	73.6
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Delaware"	"10"	666	795699	80.7
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"District of Columbia"	"11"	453	574504	81.2
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Florida"	"12"	17022	16356966	81.7
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Georgia"	"13"	5819	8377038	83.9
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Hawaii"	"15"	674	1225948	52.0
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Idaho"	"16"	689	1319962	57.0
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Illinois"	"17"	9460	12488445	78.8
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Indiana"	"18"	5201	6127760	85.8
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Iowa"	"19"	2342	2931997	71.2
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Kansas"	"20"	1917	2702162	69.9
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Kentucky"	"21"	4606	4068132	111.4
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Louisiana"	"22"	3817	4477875	90.1
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Maine"	"23"	1289	1285692	88.2
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Maryland"	"24"	3646	5374691	71.5
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Massachusetts"	"25"	5191	6397634	77.5
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Michigan"	"26"	7942	9991120	80.3
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Minnesota"	"27"	2969	4982796	62.4
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Missouri"	"29"	4869	5641142	82.0
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Montana"	"30"	746	906961	76.2
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Nebraska"	"31"	1213	1719836	68.3
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Nevada"	"32"	1636	2098399	83.5
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"New Hampshire"	"33"	908	1255517	73.8
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"New Jersey"	"34"	6526	8492671	73.6
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"New Mexico"	"35"	901	1831690	51.1
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"New York"	"36"	13802	19082838	70.5
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"North Carolina"	"37"	6072	8210122	75.3
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"North Dakota"	"38"	416	639062	59.6
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Ohio"	"39"	9841	11387404	82.4
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Oklahoma"	"40"	3307	3467100	91.6
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Oregon"	"41"	2698	3467937	76.0
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Pennsylvania"	"42"	11087	12298970	76.7
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Rhode Island"	"44"	893	1057142	77.5
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"South Carolina"	"45"	3376	4064995	82.8
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"South Dakota"	"46"	522	757972	64.2
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Tennessee"	"47"	4419	5750789	75.4
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Texas"	"48"	13383	21319622	76.4
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Utah"	"49"	551	2283715	34.2
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Vermont"	"50"	440	612223	68.9
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Virginia"	"51"	4443	7198362	65.4
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Washington"	"53"	4237	5985722	76.6
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"West Virginia"	"54"	2160	1801481	99.9
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Wisconsin"	"55"	3974	5406835	71.8
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Wyoming"	"56"	261	494657	53.7
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Alabama"	"01"	3900	4480089	82.2
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Alaska"	"02"	306	642337	76.0
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Arizona"	"04"	3473	5396255	63.1
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Arkansas"	"05"	2633	2705927	88.6
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"California"	"06"	18677	34871843	61.5
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Colorado"	"08"	2232	4490406	60.7
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Connecticut"	"09"	2814	3458749	75.2
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Delaware"	"10"	680	806169	80.2
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Florida"	"12"	17176	16689370	80.6
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Georgia"	"13"	5948	8508256	83.3
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Hawaii"	"15"	728	1239613	55.0
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Idaho"	"16"	739	1340372	59.7
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Illinois"	"17"	9761	12525556	80.5
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Indiana"	"18"	5309	6155967	86.5
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Iowa"	"19"	2389	2934234	72.2
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Kansas"	"20"	1847	2713535	67.0
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Kentucky"	"21"	4582	4089875	109.1
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Louisiana"	"22"	3617	4497267	84.0
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Maine"	"23"	1254	1295960	84.2
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Maryland"	"24"	3897	5440389	74.9
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Massachusetts"	"25"	5276	6417206	78.1
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Michigan"	"26"	7945	10015710	79.3
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Minnesota"	"27"	3017	5018935	62.5
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Missouri"	"29"	5214	5674825	86.6
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Montana"	"30"	717	911667	71.9
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Nebraska"	"31"	1203	1728292	66.9
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Nevada"	"32"	1736	2173791	84.8
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"New Hampshire"	"33"	955	1269089	76.3
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"New Jersey"	"34"	6534	8552643	72.8
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"New Mexico"	"35"	976	1855309	54.2
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"New York"	"36"	14023	19137800	70.8
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"North Carolina"	"37"	6434	8326201	77.7
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"North Dakota"	"38"	446	638168	63.1
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Ohio"	"39"	9856	11407889	81.6
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Oklahoma"	"40"	3347	3489080	91.6
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Oregon"	"41"	2716	3513424	74.8
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Pennsylvania"	"42"	11250	12331031	77.0
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Rhode Island"	"44"	962	1065995	82.8
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"South Carolina"	"45"	3438	4107795	82.5
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"South Dakota"	"46"	557	760020	67.4
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Tennessee"	"47"	4626	5795918	77.3
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Texas"	"48"	13610	21690325	76.0
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Utah"	"49"	538	2324815	32.5
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Vermont"	"50"	426	615442	65.5
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Virginia"	"51"	4748	7286873	68.4
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Washington"	"53"	4095	6052349	72.4
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"West Virginia"	"54"	2142	1805414	97.8
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Wisconsin"	"55"	3872	5445162	68.9
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Wyoming"	"56"	280	500017	56.2
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Alabama"	"01"	3836	4503491	79.8
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Alaska"	"02"	322	648414	81.2
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Arizona"	"04"	3649	5510364	64.4
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Arkansas"	"05"	2646	2724816	88.0
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"California"	"06"	18589	35253159	59.9
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Colorado"	"08"	2176	4528732	57.5
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Connecticut"	"09"	2844	3484336	74.9
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Delaware"	"10"	787	818003	90.5
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"District of Columbia"	"11"	422	568502	74.8
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Florida"	"12"	17262	17004085	79.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Georgia"	"13"	5982	8622793	81.8
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Hawaii"	"15"	757	1251154	55.7
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Idaho"	"16"	815	1363380	64.1
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Illinois"	"17"	9771	12556006	79.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Indiana"	"18"	5432	6196638	87.0
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Iowa"	"19"	2519	2941999	75.5
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Kansas"	"20"	1961	2723004	70.2
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Kentucky"	"21"	4592	4117170	107.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Louisiana"	"22"	3797	4521042	87.0
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Maine"	"23"	1302	1306513	86.0
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Maryland"	"24"	4109	5496269	77.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Massachusetts"	"25"	5224	6422565	76.7
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Michigan"	"26"	8516	10041152	83.7
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Minnesota"	"27"	3127	5053572	63.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Mississippi"	"28"	2491	2868312	87.2
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Missouri"	"29"	5409	5709403	88.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Montana"	"30"	722	919630	71.0
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Nebraska"	"31"	1258	1738643	69.5
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Nevada"	"32"	1776	2248850	82.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"New Hampshire"	"33"	965	1279840	75.0
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"New Jersey"	"34"	6441	8601402	71.1
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"New Mexico"	"35"	930	1877574	50.1
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"New York"	"36"	14051	19175939	70.2
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"North Carolina"	"37"	6705	8422501	79.1
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"North Dakota"	"38"	470	638817	66.3
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Ohio"	"39"	9828	11434788	80.4
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Oklahoma"	"40"	3256	3504892	87.9
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Oregon"	"41"	2695	3547376	72.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Pennsylvania"	"42"	11179	12374658	75.9
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Rhode Island"	"44"	953	1071342	81.1
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"South Carolina"	"45"	3565	4150297	83.2
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"South Dakota"	"46"	558	763729	67.0
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Tennessee"	"47"	5085	5847812	83.6
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Texas"	"48"	13947	22030931	75.9
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Utah"	"49"	581	2360137	34.3
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Vermont"	"50"	505	617858	76.3
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Virginia"	"51"	5382	7366977	76.3
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Washington"	"53"	4277	6104115	74.3
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"West Virginia"	"54"	2048	1812295	92.0
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Wisconsin"	"55"	3980	5479203	69.8
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Wyoming"	"56"	316	503453	62.2
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Alabama"	"01"	4125	4530729	84.4
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Alaska"	"02"	346	659286	82.9
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Arizona"	"04"	3651	5652404	62.4
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Arkansas"	"05"	2733	2749686	89.4
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"California"	"06"	18629	35574576	59.1
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Colorado"	"08"	2143	4575013	55.1
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Connecticut"	"09"	2753	3496094	71.8
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Delaware"	"10"	791	830803	88.6
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"District of Columbia"	"11"	391	567754	70.3
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Florida"	"12"	17658	17415318	79.5
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Georgia"	"13"	5927	8769252	79.3
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Hawaii"	"15"	832	1273569	60.0
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Idaho"	"16"	823	1391802	62.6
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Illinois"	"17"	9517	12589773	76.9
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Indiana"	"18"	5273	6233007	83.5
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Iowa"	"19"	2448	2953635	72.6
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Kansas"	"20"	1903	2734373	67.4
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Kentucky"	"21"	4782	4146101	110.2
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Louisiana"	"22"	3910	4552238	88.2
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Maine"	"23"	1360	1313688	88.0
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Maryland"	"24"	4027	5546935	74.7
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Massachusetts"	"25"	5305	6412281	77.2
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Michigan"	"26"	8259	10055315	80.2
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Minnesota"	"27"	3124	5087713	62.5
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Mississippi"	"28"	2512	2889010	86.8
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Missouri"	"29"	5326	5747741	86.2
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Montana"	"30"	699	930009	67.8
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Nebraska"	"31"	1331	1749370	72.4
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Nevada"	"32"	1836	2346222	81.8
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"New Hampshire"	"33"	1060	1290121	80.6
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"New Jersey"	"34"	6213	8634561	67.9
